time;model_id;model_name;port_name;data
8.9;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
8.9;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
8.9;5;adder;;{noise: 2.80958, n1: 0, n2: 0, sum: 2.80958, sigma: 0}
8.9;6;noise;noise_out;2.80958
8.9;6;noise;;{value: 6.73608, sigma: 0.1}
8.9;1;electrode;;{input: 2.80958, threshold: 25, sigma: inf}
8.9;5;adder;sum_out;2.80958
8.9;5;adder;;{noise: 2.80958, n1: 0, n2: 0, sum: 2.80958, sigma: inf}
9;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
9;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
9;5;adder;;{noise: 6.73608, n1: 0, n2: 0, sum: 6.73608, sigma: 0}
9;6;noise;noise_out;6.73608
9;6;noise;;{value: 11.7967, sigma: 0.1}
9;1;electrode;;{input: 6.73608, threshold: 25, sigma: inf}
9;5;adder;sum_out;6.73608
9;5;adder;;{noise: 6.73608, n1: 0, n2: 0, sum: 6.73608, sigma: inf}
9.1;3;neuron2;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
9.1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
9.1;5;adder;;{noise: 11.7967, n1: 0, n2: 0, sum: 11.7967, sigma: 0}
9.1;6;noise;noise_out;11.7967
9.1;6;noise;;{value: -10.0385, sigma: 0.1}
9.1;1;electrode;;{input: 11.7967, threshold: 25, sigma: inf}
9.1;5;adder;sum_out;11.7967
9.1;5;adder;;{noise: 11.7967, n1: 0, n2: 0, sum: 11.7967, sigma: inf}
9.2;3;neuron2;potential_out;30
9.2;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
9.2;4;neuron1;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
9.2;5;adder;;{noise: -10.0385, n1: 0, n2: 30, sum: 12.4615, sigma: 0}
9.2;6;noise;noise_out;-10.0385
9.2;6;noise;;{value: -7.41618, sigma: 0.1}
9.2;1;electrode;;{input: 12.4615, threshold: 25, sigma: inf}
9.2;5;adder;sum_out;12.4615
9.2;5;adder;;{noise: -10.0385, n1: 0, n2: 30, sum: 12.4615, sigma: inf}
9.3;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
9.3;4;neuron1;potential_out;30
9.3;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
9.3;5;adder;;{noise: -7.41618, n1: 30, n2: 0, sum: 19.5838, sigma: 0}
9.3;6;noise;noise_out;-7.41618
9.3;6;noise;;{value: -2.21508, sigma: 0.1}
9.3;1;electrode;;{input: 19.5838, threshold: 25, sigma: inf}
9.3;5;adder;sum_out;19.5838
9.3;5;adder;;{noise: -7.41618, n1: 30, n2: 0, sum: 19.5838, sigma: inf}
9.4;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
9.4;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
9.4;5;adder;;{noise: -2.21508, n1: 0, n2: 0, sum: -2.21508, sigma: 0}
9.4;6;noise;noise_out;-2.21508
9.4;6;noise;;{value: 3.68936, sigma: 0.1}
9.4;1;electrode;;{input: -2.21508, threshold: 25, sigma: inf}
9.4;5;adder;sum_out;-2.21508
9.4;5;adder;;{noise: -2.21508, n1: 0, n2: 0, sum: -2.21508, sigma: inf}
9.5;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
9.5;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
9.5;5;adder;;{noise: 3.68936, n1: 0, n2: 0, sum: 3.68936, sigma: 0}
9.5;6;noise;noise_out;3.68936
9.5;6;noise;;{value: -7.87443, sigma: 0.1}
9.5;1;electrode;;{input: 3.68936, threshold: 25, sigma: inf}
9.5;5;adder;sum_out;3.68936
9.5;5;adder;;{noise: 3.68936, n1: 0, n2: 0, sum: 3.68936, sigma: inf}
9.6;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
9.6;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
9.6;5;adder;;{noise: -7.87443, n1: 0, n2: 0, sum: -7.87443, sigma: 0}
9.6;6;noise;noise_out;-7.87443
9.6;6;noise;;{value: 2.70426, sigma: 0.1}
9.6;1;electrode;;{input: -7.87443, threshold: 25, sigma: inf}
9.6;5;adder;sum_out;-7.87443
9.6;5;adder;;{noise: -7.87443, n1: 0, n2: 0, sum: -7.87443, sigma: inf}
9.7;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
9.7;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
9.7;5;adder;;{noise: 2.70426, n1: 0, n2: 0, sum: 2.70426, sigma: 0}
9.7;6;noise;noise_out;2.70426
9.7;6;noise;;{value: 6.26188, sigma: 0.1}
9.7;1;electrode;;{input: 2.70426, threshold: 25, sigma: inf}
9.7;5;adder;sum_out;2.70426
9.7;5;adder;;{noise: 2.70426, n1: 0, n2: 0, sum: 2.70426, sigma: inf}
9.8;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
9.8;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
