time;model_id;model_name;port_name;data
3.3;6;noise;;{value: 0.707804, sigma: 0.1}
3.3;1;electrode;;{input: -19.123, threshold: 55, sigma: inf}
3.3;5;adder;sum_out;-19.123
3.3;5;adder;;{noise: -19.123, n1: 0, n2: 0, sum: -19.123, sigma: inf}
3.4;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
3.4;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
3.4;5;adder;;{noise: 0.707804, n1: 0, n2: 0, sum: 0.707804, sigma: 0}
3.4;6;noise;noise_out;0.707804
3.4;6;noise;;{value: 16.297, sigma: 0.1}
3.4;1;electrode;;{input: 0.707804, threshold: 55, sigma: inf}
3.4;5;adder;sum_out;0.707804
3.4;5;adder;;{noise: 0.707804, n1: 0, n2: 0, sum: 0.707804, sigma: inf}
3.5;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
3.5;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
3.5;5;adder;;{noise: 16.297, n1: 0, n2: 0, sum: 16.297, sigma: 0}
3.5;6;noise;noise_out;16.297
3.5;6;noise;;{value: -14.2149, sigma: 0.1}
3.5;1;electrode;;{input: 16.297, threshold: 55, sigma: inf}
3.5;5;adder;sum_out;16.297
3.5;5;adder;;{noise: 16.297, n1: 0, n2: 0, sum: 16.297, sigma: inf}
3.6;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
3.6;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
3.6;5;adder;;{noise: -14.2149, n1: 0, n2: 0, sum: -14.2149, sigma: 0}
3.6;6;noise;noise_out;-14.2149
3.6;6;noise;;{value: -4.62578, sigma: 0.1}
3.6;1;electrode;;{input: -14.2149, threshold: 55, sigma: inf}
3.6;5;adder;sum_out;-14.2149
3.6;5;adder;;{noise: -14.2149, n1: 0, n2: 0, sum: -14.2149, sigma: inf}
3.7;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
3.7;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
3.7;5;adder;;{noise: -4.62578, n1: 0, n2: 0, sum: -4.62578, sigma: 0}
3.7;6;noise;noise_out;-4.62578
3.7;6;noise;;{value: -2.26256, sigma: 0.1}
3.7;1;electrode;;{input: -4.62578, threshold: 55, sigma: inf}
3.7;5;adder;sum_out;-4.62578
3.7;5;adder;;{noise: -4.62578, n1: 0, n2: 0, sum: -4.62578, sigma: inf}
3.8;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
3.8;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
3.8;5;adder;;{noise: -2.26256, n1: 0, n2: 0, sum: -2.26256, sigma: 0}
3.8;6;noise;noise_out;-2.26256
3.8;6;noise;;{value: 10.6267, sigma: 0.1}
3.8;1;electrode;;{input: -2.26256, threshold: 55, sigma: inf}
3.8;5;adder;sum_out;-2.26256
3.8;5;adder;;{noise: -2.26256, n1: 0, n2: 0, sum: -2.26256, sigma: inf}
3.9;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
3.9;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
3.9;5;adder;;{noise: 10.6267, n1: 0, n2: 0, sum: 10.6267, sigma: 0}
3.9;6;noise;noise_out;10.6267
3.9;6;noise;;{value: 7.67219, sigma: 0.1}
3.9;1;electrode;;{input: 10.6267, threshold: 55, sigma: inf}
3.9;5;adder;sum_out;10.6267
3.9;5;adder;;{noise: 10.6267, n1: 0, n2: 0, sum: 10.6267, sigma: inf}
4;3;neuron2;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
4;4;neuron1;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
4;5;adder;;{noise: 7.67219, n1: 0, n2: 0, sum: 7.67219, sigma: 0}
4;6;noise;noise_out;7.67219
4;6;noise;;{value: -1.84148, sigma: 0.1}
4;1;electrode;;{input: 7.67219, threshold: 55, sigma: inf}
4;5;adder;sum_out;7.67219
4;5;adder;;{noise: 7.67219, n1: 0, n2: 0, sum: 7.67219, sigma: inf}
4.1;3;neuron2;potential_out;30
4.1;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
4.1;4;neuron1;potential_out;30
4.1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
4.1;5;adder;;{noise: -1.84148, n1: 30, n2: 30, sum: 47.6585, sigma: 0}
4.1;6;noise;noise_out;-1.84148
4.1;6;noise;;{value: -19.7134, sigma: 0.1}
4.1;1;electrode;;{input: 47.6585, threshold: 55, sigma: inf}
4.1;5;adder;sum_out;47.6585
4.1;5;adder;;{noise: -1.84148, n1: 30, n2: 30, sum: 47.6585, sigma: inf}
4.2;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
4.2;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
4.2;5;adder;;{noise: -19.7134, n1: 0, n2: 0, sum: -19.7134, sigma: 0}
4.2;6;noise;noise_out;-19.7134
4.2;6;noise;;{value: -7.06283, sigma: 0.1}
4.2;1;electrode;;{input: -19.7134, threshold: 55, sigma: inf}
4.2;5;adder;sum_out;-19.7134
4.2;5;adder;;{noise: -19.7134, n1: 0, n2: 0, sum: -19.7134, sigma: inf}
4.3;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
4.3;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
4.3;5;adder;;{noise: -7.06283, n1: 0, n2: 0, sum: -7.06283, sigma: 0}
4.3;6;noise;noise_out;-7.06283
4.3;6;noise;;{value: 18.4856, sigma: 0.1}
4.3;1;electrode;;{input: -7.06283, threshold: 55, sigma: inf}
4.3;5;adder;sum_out;-7.06283
4.3;5;adder;;{noise: -7.06283, n1: 0, n2: 0, sum: -7.06283, sigma: inf}
4.4;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
4.4;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
4.4;5;adder;;{noise: 18.4856, n1: 0, n2: 0, sum: 18.4856, sigma: 0}
4.4;6;noise;noise_out;18.4856
4.4;6;noise;;{value: 4.36924, sigma: 0.1}
4.4;1;electrode;;{input: 18.4856, threshold: 55, sigma: inf}
4.4;5;adder;sum_out;18.4856
4.4;5;adder;;{noise: 18.4856, n1: 0, n2: 0, sum: 18.4856, sigma: inf}
4.5;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
4.5;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
4.5;5;adder;;{noise: 4.36924, n1: 0, n2: 0, sum: 4.36924, sigma: 0}
4.5;6;noise;noise_out;4.36924
4.5;6;noise;;{value: 5.05477, sigma: 0.1}
4.5;1;electrode;;{input: 4.36924, threshold: 55, sigma: inf}
4.5;5;adder;sum_out;4.36924
4.5;5;adder;;{noise: 4.36924, n1: 0, n2: 0, sum: 4.36924, sigma: inf}
4.6;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
4.6;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
4.6;5;adder;;{noise: 5.05477, n1: 0, n2: 0, sum: 5.05477, sigma: 0}
4.6;6;noise;noise_out;5.05477
4.6;6;noise;;{value: 12.4518, sigma: 0.1}
4.6;1;electrode;;{input: 5.05477, threshold: 55, sigma: inf}
4.6;5;adder;sum_out;5.05477
4.6;5;adder;;{noise: 5.05477, n1: 0, n2: 0, sum: 5.05477, sigma: inf}
4.7;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
4.7;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
4.7;5;adder;;{noise: 12.4518, n1: 0, n2: 0, sum: 12.4518, sigma: 0}
4.7;6;noise;noise_out;12.4518
4.7;6;noise;;{value: 26.1126, sigma: 0.1}
4.7;1;electrode;;{input: 12.4518, threshold: 55, sigma: inf}
4.7;5;adder;sum_out;12.4518
4.7;5;adder;;{noise: 12.4518, n1: 0, n2: 0, sum: 12.4518, sigma: inf}
