time;model_id;model_name;port_name;data
4.4;4;noise;;{value: 5.31617, sigma: 0.1}
4.4;3;adder;sum_out;0.761501
4.4;3;adder;;{noise: 0.761501, n1: 0, n2: 0, sum: 0.761501, sigma: inf}
4.5;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.8}
4.5;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
4.5;3;adder;;{noise: 5.31617, n1: 0, n2: 0, sum: 5.31617, sigma: 0}
4.5;4;noise;noise_out;5.31617
4.5;4;noise;;{value: -9.29321, sigma: 0.1}
4.5;3;adder;sum_out;5.31617
4.5;3;adder;;{noise: 5.31617, n1: 0, n2: 0, sum: 5.31617, sigma: inf}
4.6;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
4.6;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
4.6;3;adder;;{noise: -9.29321, n1: 0, n2: 0, sum: -9.29321, sigma: 0}
4.6;4;noise;noise_out;-9.29321
4.6;4;noise;;{value: 20.7433, sigma: 0.1}
4.6;3;adder;sum_out;-9.29321
4.6;3;adder;;{noise: -9.29321, n1: 0, n2: 0, sum: -9.29321, sigma: inf}
4.7;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
4.7;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
4.7;3;adder;;{noise: 20.7433, n1: 0, n2: 0, sum: 20.7433, sigma: 0}
4.7;4;noise;noise_out;20.7433
4.7;4;noise;;{value: 2.43973, sigma: 0.1}
4.7;3;adder;sum_out;20.7433
4.7;3;adder;;{noise: 20.7433, n1: 0, n2: 0, sum: 20.7433, sigma: inf}
4.8;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
4.8;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
4.8;3;adder;;{noise: 2.43973, n1: 0, n2: 0, sum: 2.43973, sigma: 0}
4.8;4;noise;noise_out;2.43973
4.8;4;noise;;{value: 0.305296, sigma: 0.1}
4.8;3;adder;sum_out;2.43973
4.8;3;adder;;{noise: 2.43973, n1: 0, n2: 0, sum: 2.43973, sigma: inf}
4.9;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
4.9;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
4.9;3;adder;;{noise: 0.305296, n1: 0, n2: 0, sum: 0.305296, sigma: 0}
4.9;4;noise;noise_out;0.305296
4.9;4;noise;;{value: -20.377, sigma: 0.1}
4.9;3;adder;sum_out;0.305296
4.9;3;adder;;{noise: 0.305296, n1: 0, n2: 0, sum: 0.305296, sigma: inf}
5;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
5;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
5;3;adder;;{noise: -20.377, n1: 0, n2: 0, sum: -20.377, sigma: 0}
5;4;noise;noise_out;-20.377
5;4;noise;;{value: -2.45843, sigma: 0.1}
5;3;adder;sum_out;-20.377
5;3;adder;;{noise: -20.377, n1: 0, n2: 0, sum: -20.377, sigma: inf}
5;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
5;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
5;3;adder;;{noise: -20.377, n1: 0, n2: 0, sum: -20.377, sigma: inf}
5;4;noise;;{value: -2.45843, sigma: 0.1}
